first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3;ALG_catch24_kmeans_5;ALG_catch24_kmeans_7;ALG_naive_kmeans_2;ALG_naive_kmeans_3;ALG_naive_kmeans_5;ALG_naive_kmeans_4;ALG_catch24_kmeans_2_r;ALG_catch24_kmeans_3_r;ALG_catch24_kmeans_5_r;ALG_catch24_kmeans_7_r
2019-02-18 08:04:00+00:00;2019-02-18 08:29:30+00:00;0 days 00:25:30;slice(Timestamp('2019-02-18 08:04:00+0000', tz='UTC'), Timestamp('2019-02-18 08:29:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-18 10:02:00+00:00;2019-02-18 10:26:30+00:00;0 days 00:24:30;slice(Timestamp('2019-02-18 10:02:00+0000', tz='UTC'), Timestamp('2019-02-18 10:26:30+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-18 11:46:30+00:00;2019-02-18 12:12:30+00:00;0 days 00:26:00;slice(Timestamp('2019-02-18 11:46:30+0000', tz='UTC'), Timestamp('2019-02-18 12:12:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-18 13:31:30+00:00;2019-02-18 13:55:30+00:00;0 days 00:24:00;slice(Timestamp('2019-02-18 13:31:30+0000', tz='UTC'), Timestamp('2019-02-18 13:55:30+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-18 15:09:30+00:00;2019-02-18 16:17:00+00:00;0 days 01:07:30;slice(Timestamp('2019-02-18 15:09:30+0000', tz='UTC'), Timestamp('2019-02-18 16:17:00+0000', tz='UTC'), None);1;1;1;3;0;0;3;3;1;1;1;3
2019-02-18 17:39:30+00:00;2019-02-18 18:08:30+00:00;0 days 00:29:00;slice(Timestamp('2019-02-18 17:39:30+0000', tz='UTC'), Timestamp('2019-02-18 18:08:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-18 19:20:30+00:00;2019-02-18 19:56:00+00:00;0 days 00:35:30;slice(Timestamp('2019-02-18 19:20:30+0000', tz='UTC'), Timestamp('2019-02-18 19:56:00+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-18 20:57:30+00:00;2019-02-18 21:17:00+00:00;0 days 00:19:30;slice(Timestamp('2019-02-18 20:57:30+0000', tz='UTC'), Timestamp('2019-02-18 21:17:00+0000', tz='UTC'), None);1;2;4;0;0;0;0;0;1;2;4;0
2019-02-18 22:07:30+00:00;2019-02-18 22:21:30+00:00;0 days 00:14:00;slice(Timestamp('2019-02-18 22:07:30+0000', tz='UTC'), Timestamp('2019-02-18 22:21:30+0000', tz='UTC'), None);1;2;3;2;0;0;0;0;1;2;3;2
2019-02-18 23:53:30+00:00;2019-02-19 00:13:00+00:00;0 days 00:19:30;slice(Timestamp('2019-02-18 23:53:30+0000', tz='UTC'), Timestamp('2019-02-19 00:13:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
